Place of Origin,Date,Credit
Italy,1507,Donation
Holland,1662,Fund
Stoke-on-Trent,1873,Gift
Unknown,2018,Purchased
Unknown,2018,Purchased
Unknown,2018,Purchased
Unknown,2018,Purchased
Grand Rapids,1937,Gift
China,1720,Gift
Chicago,1911,Gift
Mali,1875,Purchased
Mali,1900,Fund
Mali,1001,Fund
Mali,1701,Fund
Burkina Faso,1880,Fund
Burkina Faso,1867,Gift
Mali,1175,Donation
China,551,Gift
United Kingdom,1925,Gift
United Kingdom,1924,Gift
United Kingdom,1915,Gift
United Kingdom,1915,Gift
Australia,1931,Gift
United Kingdom,1927,Gift
Gabon,1875,Purchased
Mali,1850,Donation
Côte d'Ivoire,1850,Purchased
Senegal,1875,Fund
Gabon,1875,Fund
Nigeria,1834,Gift
Northern Italy,1800,Donation
Democratic Republic of the Congo,1875,Donation
Cameroon,1901,Gift
Cameroon,1900,Fund
Nigeria,1900,Gift
Nigeria,1925,Gift
Sierra Leone,1900,Donation
Guinea,1925,Purchased
Nigeria,1875,Donation
Democratic Republic of the Congo,1901,Donation
Democratic Republic of the Congo,1875,Gift
Côte d'Ivoire,1875,Donation
Democratic Republic of the Congo,1875,Donation
Ikere,1910,Fund
Côte d'Ivoire,1900,Purchased
Mozambique,1900,Donation
Japan,1937,Gift
United States,1944,Gift
France,1880,Donation
France,1887,Donation
France,1872,Gift
India,1601,Fund
Boston,1902,Purchased
Colombia,1992,Gift
Spain,1939,Gift
Italy,1635,Purchased
France,1898,Donation
France,1873,Donation
France,1897,Donation
France,1851,Donation
France,1848,Donation
Switzerland,1962,Fund
France,1914,Donation
France,1895,Donation
France,1920,Fund
Italy,1915,Donation
United States,1962,Purchased
Saint-Rémy-de-Provence,1889,Donation
Paris,1887,Donation
United States,1969,Gift
France,1899,Donation
United States,1948,Gift
France,1914,Donation
France,1893,Fund
Switzerland,1948,Donation
Paris,1887,Gift
Switzerland,1943,Donation
Netherlands,1658,Fund
France,1895,Donation
France,1895,Donation
Spain,1597,Gift
France,1875,Purchased
United States,1920,Fund
France,1948,Fund
New York,1931,Purchased
France,1902,Donation
Spain,1922,Donation
France,1866,Donation
China,-899,Donation
United States,1955,Gift
United States,1955,Fund
China,-899,Donation
United States,1955,Fund
United States,1955,Fund
Moche Valley,-100,Donation
United States,1977,Gift
France,1939,Gift
Wichita,1938,Fund
France,1905,Gift
Nepal,1601,Donation
